state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
04,Arizona,013,Maricopa,18.0,4,13
04,Arizona,013,Maricopa,9.0,4,13
04,Arizona,019,Pima,20.0,4,19
06,California,001,Alameda,11.0,6,1
06,California,007,Butte,6.0,6,7
06,California,019,Fresno,11.0,6,19
06,California,029,Kern,7.0,6,29
06,California,029,Kern,3.0,6,29
06,California,029,Kern,7.0,6,29
06,California,037,Los Angeles,13.0,6,37
06,California,037,Los Angeles,18.0,6,37
06,California,051,Mono,5.0,6,51
06,California,067,Sacramento,35.0,6,67
06,California,071,San Bernardino,18.0,6,71
06,California,073,San Diego,23.0,6,73
06,California,083,Santa Barbara,0.0,6,83
06,California,089,Shasta,11.0,6,89
08,Colorado,041,El Paso,9.0,8,41
12,Florida,031,Duval,15.0,12,31
12,Florida,031,Duval,13.0,12,31
12,Florida,057,Hillsborough,19.0,12,57
15,Hawaii,003,Honolulu,10.0,15,3
17,Illinois,167,Sangamon,20.0,17,167
18,Indiana,097,Marion,32.0,18,97
21,Kentucky,101,Henderson,8.0,21,101
21,Kentucky,111,Jefferson,6.0,21,111
21,Kentucky,145,McCracken,13.0,21,145
21,Kentucky,145,McCracken,13.0,21,145
22,Louisiana,033,East Baton Rouge,5.0,22,33
24,Maryland,510,Baltimore (City),33.0,24,510
25,Massachusetts,025,Suffolk,13.0,25,25
26,Michigan,163,Wayne,19.0,26,163
27,Minnesota,137,Saint Louis,16.0,27,137
29,Missouri,189,Saint Louis,10.0,29,189
34,New Jersey,003,Bergen,41.0,34,3
34,New Jersey,023,Middlesex,17.0,34,23
35,New Mexico,001,Bernalillo,11.0,35,1
35,New Mexico,045,San Juan,6.0,35,45
36,New York,061,New York,13.0,36,61
36,New York,061,New York,24.0,36,61
36,New York,063,Niagara,13.0,36,63
37,North Carolina,119,Mecklenburg,28.0,37,119
39,Ohio,049,Franklin,10.0,39,49
39,Ohio,061,Hamilton,17.0,39,61
40,Oklahoma,109,Oklahoma,14.0,40,109
41,Oregon,035,Klamath,31.0,41,35
41,Oregon,051,Multnomah,28.0,41,51
42,Pennsylvania,049,Erie,7.0,42,49
42,Pennsylvania,101,Philadelphia,13.0,42,101
47,Tennessee,157,Shelby,38.0,47,157
48,Texas,029,Bexar,22.0,48,29
49,Utah,035,Salt Lake,19.0,49,35
50,Vermont,007,Chittenden,18.0,50,7
50,Vermont,007,Chittenden,20.0,50,7
51,Virginia,059,Fairfax,39.0,51,59
51,Virginia,710,Norfolk City,15.0,51,710
51,Virginia,760,Richmond City,17.0,51,760
53,Washington,033,King,55.0,53,33
53,Washington,033,King,22.0,53,33
53,Washington,077,Yakima,35.0,53,77
55,Wisconsin,079,Milwaukee,10.0,55,79
04,Arizona,013,Maricopa,56.0,4,13
04,Arizona,019,Pima,30.0,4,19
06,California,023,Humboldt,30.0,6,23
06,California,023,Humboldt,11.0,6,23
06,California,065,Riverside,18.0,6,65
06,California,071,San Bernardino,11.0,6,71
06,California,071,San Bernardino,22.0,6,71
06,California,071,San Bernardino,11.0,6,71
06,California,073,San Diego,24.0,6,73
06,California,083,Santa Barbara,11.0,6,83
06,California,083,Santa Barbara,7.0,6,83
06,California,085,Santa Clara,11.0,6,85
06,California,097,Sonoma,11.0,6,97
06,California,099,Stanislaus,0.0,6,99
08,Colorado,013,Boulder,28.0,8,13
08,Colorado,041,El Paso,9.0,8,41
08,Colorado,041,El Paso,9.0,8,41
15,Hawaii,003,Honolulu,6.0,15,3
17,Illinois,167,Sangamon,26.0,17,167
18,Indiana,097,Marion,27.0,18,97
19,Iowa,153,Polk,14.0,19,153
20,Kansas,173,Sedgwick,16.0,20,173
22,Louisiana,071,Orleans,5.0,22,71
24,Maryland,001,Allegany,9.0,24,1
24,Maryland,031,Montgomery,24.0,24,31
26,Michigan,163,Wayne,17.0,26,163
27,Minnesota,053,Hennepin,16.0,27,53
29,Missouri,047,Clay,6.0,29,47
29,Missouri,095,Jackson,3.0,29,95
30,Montana,063,Missoula,14.0,30,63
32,Nevada,031,Washoe,52.0,32,31
32,Nevada,031,Washoe,8.0,32,31
34,New Jersey,007,Camden,7.0,34,7
35,New Mexico,045,San Juan,17.0,35,45
35,New Mexico,045,San Juan,14.0,35,45
36,New York,055,Monroe,18.0,36,55
36,New York,063,Niagara,6.0,36,63
36,New York,093,Schenectady,19.0,36,93
39,Ohio,049,Franklin,11.0,39,49
39,Ohio,095,Lucas,13.0,39,95
40,Oklahoma,027,Cleveland,7.0,40,27
40,Oklahoma,143,Tulsa,13.0,40,143
40,Oklahoma,143,Tulsa,16.0,40,143
42,Pennsylvania,043,Dauphin,6.0,42,43
42,Pennsylvania,071,Lancaster,5.0,42,71
42,Pennsylvania,101,Philadelphia,10.0,42,101
47,Tennessee,157,Shelby,74.0,47,157
48,Texas,029,Bexar,6.0,48,29
48,Texas,113,Dallas,2.0,48,113
49,Utah,011,Davis,22.0,49,11
49,Utah,035,Salt Lake,19.0,49,35
51,Virginia,059,Fairfax,15.0,51,59
51,Virginia,510,Alexandria City,13.0,51,510
51,Virginia,700,Newport News City,8.0,51,700
53,Washington,033,King,44.0,53,33
53,Washington,061,Snohomish,76.0,53,61
53,Washington,063,Spokane,32.0,53,63
54,West Virginia,025,Greenbrier,2.0,54,25
55,Wisconsin,079,Milwaukee,22.0,55,79
72,Puerto Rico,127,San Juan,35.0,72,127
72,Puerto Rico,127,San Juan,18.0,72,127
01,Alabama,073,Jefferson,23.0,1,73
04,Arizona,013,Maricopa,66.0,4,13
04,Arizona,013,Maricopa,14.0,4,13
04,Arizona,013,Maricopa,60.0,4,13
04,Arizona,019,Pima,20.0,4,19
04,Arizona,019,Pima,36.0,4,19
06,California,007,Butte,9.0,6,7
06,California,029,Kern,19.0,6,29
06,California,037,Los Angeles,23.0,6,37
06,California,037,Los Angeles,33.0,6,37
06,California,037,Los Angeles,10.0,6,37
06,California,053,Monterey,16.0,6,53
06,California,061,Placer,13.0,6,61
06,California,083,Santa Barbara,47.0,6,83
06,California,083,Santa Barbara,0.0,6,83
06,California,085,Santa Clara,6.0,6,85
06,California,107,Tulare,11.0,6,107
08,Colorado,041,El Paso,25.0,8,41
08,Colorado,041,El Paso,7.0,8,41
08,Colorado,041,El Paso,10.0,8,41
08,Colorado,041,El Paso,8.0,8,41
11,District Of Columbia,001,District of Columbia,22.0,11,1
12,Florida,011,Broward,17.0,12,11
12,Florida,011,Broward,24.0,12,11
12,Florida,011,Broward,15.0,12,11
12,Florida,057,Hillsborough,13.0,12,57
13,Georgia,089,DeKalb,8.0,13,89
17,Illinois,167,Sangamon,16.0,17,167
18,Indiana,141,St. Joseph,9.0,18,141
18,Indiana,163,Vanderburgh,15.0,18,163
25,Massachusetts,025,Suffolk,23.0,25,25
26,Michigan,099,Macomb,31.0,26,99
27,Minnesota,123,Ramsey,20.0,27,123
31,Nebraska,055,Douglas,28.0,31,55
32,Nevada,003,Clark,13.0,32,3
34,New Jersey,001,Atlantic,26.0,34,1
34,New Jersey,003,Bergen,11.0,34,3
35,New Mexico,001,Bernalillo,13.0,35,1
36,New York,059,Nassau,7.0,36,59
36,New York,063,Niagara,9.0,36,63
37,North Carolina,119,Mecklenburg,11.0,37,119
42,Pennsylvania,011,Berks,19.0,42,11
42,Pennsylvania,011,Berks,16.0,42,11
42,Pennsylvania,049,Erie,18.0,42,49
42,Pennsylvania,069,Lackawanna,5.0,42,69
42,Pennsylvania,101,Philadelphia,13.0,42,101
42,Pennsylvania,125,Washington,9.0,42,125
48,Texas,141,El Paso,47.0,48,141
49,Utah,035,Salt Lake,31.0,49,35
49,Utah,049,Utah,42.0,49,49
49,Utah,049,Utah,15.0,49,49
53,Washington,077,Yakima,58.0,53,77
53,Washington,077,Yakima,57.0,53,77
55,Wisconsin,079,Milwaukee,14.0,55,79
55,Wisconsin,079,Milwaukee,9.0,55,79
55,Wisconsin,101,Racine,35.0,55,101
72,Puerto Rico,127,San Juan,28.0,72,127
80,Country Of Mexico,006,CHIHUAHUA STATE,45.0,80,6
04,Arizona,013,Maricopa,8.0,4,13
04,Arizona,013,Maricopa,18.0,4,13
04,Arizona,019,Pima,16.0,4,19
04,Arizona,019,Pima,30.0,4,19
04,Arizona,019,Pima,5.0,4,19
06,California,001,Alameda,11.0,6,1
06,California,013,Contra Costa,15.0,6,13
06,California,017,El Dorado,16.0,6,17
06,California,019,Fresno,5.0,6,19
06,California,045,Mendocino,0.0,6,45
06,California,065,Riverside,13.0,6,65
06,California,065,Riverside,40.0,6,65
06,California,073,San Diego,10.0,6,73
06,California,095,Solano,3.0,6,95
08,Colorado,005,Arapahoe,15.0,8,5
08,Colorado,031,Denver,28.0,8,31
08,Colorado,069,Larimer,5.0,8,69
08,Colorado,069,Larimer,6.0,8,69
09,Connecticut,001,Fairfield,24.0,9,1
12,Florida,011,Broward,5.0,12,11
12,Florida,031,Duval,13.0,12,31
12,Florida,031,Duval,16.0,12,31
12,Florida,086,Miami-Dade,43.0,12,86
15,Hawaii,003,Honolulu,5.0,15,3
15,Hawaii,003,Honolulu,7.0,15,3
17,Illinois,167,Sangamon,14.0,17,167
19,Iowa,153,Polk,18.0,19,153
21,Kentucky,111,Jefferson,15.0,21,111
21,Kentucky,145,McCracken,8.0,21,145
24,Maryland,033,Prince George's,3.0,24,33
25,Massachusetts,013,Hampden,19.0,25,13
26,Michigan,077,Kalamazoo,6.0,26,77
26,Michigan,077,Kalamazoo,6.0,26,77
27,Minnesota,053,Hennepin,32.0,27,53
32,Nevada,031,Washoe,13.0,32,31
34,New Jersey,017,Hudson,32.0,34,17
34,New Jersey,023,Middlesex,20.0,34,23
34,New Jersey,039,Union,16.0,34,39
36,New York,047,Kings,48.0,36,47
37,North Carolina,067,Forsyth,18.0,37,67
37,North Carolina,067,Forsyth,23.0,37,67
39,Ohio,035,Cuyahoga,36.0,39,35
39,Ohio,035,Cuyahoga,31.0,39,35
39,Ohio,035,Cuyahoga,11.0,39,35
39,Ohio,099,Mahoning,2.0,39,99
41,Oregon,029,Jackson,51.0,41,29
41,Oregon,039,Lane,32.0,41,39
42,Pennsylvania,003,Allegheny,5.0,42,3
42,Pennsylvania,079,Luzerne,11.0,42,79
47,Tennessee,093,Knox,27.0,47,93
47,Tennessee,157,Shelby,7.0,47,157
48,Texas,029,Bexar,34.0,48,29
48,Texas,029,Bexar,18.0,48,29
48,Texas,113,Dallas,25.0,48,113
48,Texas,141,El Paso,7.0,48,141
48,Texas,141,El Paso,18.0,48,141
48,Texas,201,Harris,14.0,48,201
49,Utah,035,Salt Lake,20.0,49,35
49,Utah,049,Utah,23.0,49,49
51,Virginia,013,Arlington,16.0,51,13
51,Virginia,710,Norfolk City,6.0,51,710
54,West Virginia,039,Kanawha,8.0,54,39
01,Alabama,073,Jefferson,5.0,1,73
04,Arizona,019,Pima,13.0,4,19
04,Arizona,019,Pima,11.0,4,19
04,Arizona,019,Pima,5.0,4,19
06,California,001,Alameda,11.0,6,1
06,California,007,Butte,14.0,6,7
06,California,017,El Dorado,8.0,6,17
06,California,017,El Dorado,6.0,6,17
06,California,019,Fresno,35.0,6,19
06,California,037,Los Angeles,38.0,6,37
06,California,037,Los Angeles,22.0,6,37
06,California,037,Los Angeles,93.0,6,37
06,California,037,Los Angeles,10.0,6,37
06,California,037,Los Angeles,11.0,6,37
06,California,061,Placer,6.0,6,61
06,California,065,Riverside,43.0,6,65
06,California,071,San Bernardino,5.0,6,71
06,California,073,San Diego,16.0,6,73
06,California,073,San Diego,7.0,6,73
06,California,079,San Luis Obispo,13.0,6,79
06,California,085,Santa Clara,10.0,6,85
06,California,111,Ventura,7.0,6,111
08,Colorado,013,Boulder,11.0,8,13
08,Colorado,041,El Paso,31.0,8,41
08,Colorado,041,El Paso,23.0,8,41
08,Colorado,041,El Paso,9.0,8,41
08,Colorado,077,Mesa,20.0,8,77
09,Connecticut,001,Fairfield,24.0,9,1
12,Florida,011,Broward,8.0,12,11
12,Florida,031,Duval,11.0,12,31
12,Florida,031,Duval,18.0,12,31
12,Florida,057,Hillsborough,15.0,12,57
12,Florida,057,Hillsborough,17.0,12,57
12,Florida,095,Orange,9.0,12,95
12,Florida,099,Palm Beach,18.0,12,99
12,Florida,103,Pinellas,7.0,12,103
12,Florida,115,Sarasota,7.0,12,115
15,Hawaii,003,Honolulu,7.0,15,3
17,Illinois,031,Cook,9.0,17,31
18,Indiana,141,St. Joseph,17.0,18,141
20,Kansas,173,Sedgwick,9.0,20,173
24,Maryland,005,Baltimore,15.0,24,5
26,Michigan,163,Wayne,7.0,26,163
29,Missouri,510,St. Louis City,6.0,29,510
30,Montana,063,Missoula,19.0,30,63
31,Nebraska,055,Douglas,8.0,31,55
31,Nebraska,109,Lancaster,23.0,31,109
34,New Jersey,005,Burlington,45.0,34,5
34,New Jersey,007,Camden,18.0,34,7
34,New Jersey,027,Morris,17.0,34,27
35,New Mexico,001,Bernalillo,54.0,35,1
35,New Mexico,001,Bernalillo,10.0,35,1
35,New Mexico,001,Bernalillo,16.0,35,1
36,New York,061,New York,39.0,36,61
36,New York,063,Niagara,6.0,36,63
37,North Carolina,067,Forsyth,8.0,37,67
39,Ohio,035,Cuyahoga,17.0,39,35
39,Ohio,035,Cuyahoga,14.0,39,35
39,Ohio,035,Cuyahoga,14.0,39,35
39,Ohio,035,Cuyahoga,13.0,39,35
39,Ohio,153,Summit,18.0,39,153
41,Oregon,039,Lane,9.0,41,39
42,Pennsylvania,003,Allegheny,9.0,42,3
42,Pennsylvania,003,Allegheny,22.0,42,3
42,Pennsylvania,069,Lackawanna,11.0,42,69
42,Pennsylvania,107,Schuylkill,9.0,42,107
47,Tennessee,093,Knox,39.0,47,93
48,Texas,141,El Paso,40.0,48,141
48,Texas,141,El Paso,30.0,48,141
48,Texas,201,Harris,11.0,48,201
48,Texas,201,Harris,16.0,48,201
48,Texas,439,Tarrant,10.0,48,439
49,Utah,035,Salt Lake,9.0,49,35
49,Utah,049,Utah,38.0,49,49
49,Utah,049,Utah,16.0,49,49
51,Virginia,059,Fairfax,47.0,51,59
51,Virginia,059,Fairfax,9.0,51,59
54,West Virginia,009,Brooke,6.0,54,9
54,West Virginia,029,Hancock,5.0,54,29
04,Arizona,013,Maricopa,33.0,4,13
06,California,017,El Dorado,18.0,6,17
06,California,037,Los Angeles,17.0,6,37
06,California,037,Los Angeles,24.0,6,37
06,California,041,Marin,8.0,6,41
06,California,053,Monterey,7.0,6,53
06,California,053,Monterey,1.0,6,53
06,California,055,Napa,10.0,6,55
06,California,061,Placer,16.0,6,61
06,California,071,San Bernardino,6.0,6,71
06,California,073,San Diego,6.0,6,73
06,California,075,San Francisco,20.0,6,75
06,California,079,San Luis Obispo,6.0,6,79
06,California,101,Sutter,28.0,6,101
06,California,107,Tulare,8.0,6,107
06,California,111,Ventura,19.0,6,111
08,Colorado,031,Denver,19.0,8,31
08,Colorado,041,El Paso,36.0,8,41
08,Colorado,041,El Paso,24.0,8,41
08,Colorado,041,El Paso,5.0,8,41
08,Colorado,041,El Paso,20.0,8,41
09,Connecticut,001,Fairfield,10.0,9,1
11,District Of Columbia,001,District of Columbia,7.0,11,1
12,Florida,011,Broward,15.0,12,11
12,Florida,011,Broward,8.0,12,11
12,Florida,031,Duval,6.0,12,31
12,Florida,086,Miami-Dade,7.0,12,86
12,Florida,103,Pinellas,15.0,12,103
13,Georgia,121,Fulton,25.0,13,121
15,Hawaii,003,Honolulu,6.0,15,3
17,Illinois,031,Cook,19.0,17,31
17,Illinois,143,Peoria,40.0,17,143
18,Indiana,003,Allen,19.0,18,3
18,Indiana,003,Allen,9.0,18,3
18,Indiana,141,St. Joseph,20.0,18,141
18,Indiana,167,Vigo,14.0,18,167
20,Kansas,181,Sherman,0.0,20,181
21,Kentucky,111,Jefferson,7.0,21,111
21,Kentucky,145,McCracken,6.0,21,145
27,Minnesota,053,Hennepin,13.0,27,53
27,Minnesota,145,Stearns,22.0,27,145
29,Missouri,189,Saint Louis,8.0,29,189
29,Missouri,213,Taney,9.0,29,213
31,Nebraska,055,Douglas,50.0,31,55
32,Nevada,005,Douglas,8.0,32,5
32,Nevada,031,Washoe,13.0,32,31
34,New Jersey,003,Bergen,11.0,34,3
34,New Jersey,007,Camden,8.0,34,7
34,New Jersey,017,Hudson,30.0,34,17
35,New Mexico,013,Dona Ana,11.0,35,13
35,New Mexico,043,Sandoval,6.0,35,43
37,North Carolina,037,Chatham,5.0,37,37
37,North Carolina,051,Cumberland,10.0,37,51
37,North Carolina,067,Forsyth,6.0,37,67
37,North Carolina,067,Forsyth,6.0,37,67
37,North Carolina,119,Mecklenburg,30.0,37,119
39,Ohio,061,Hamilton,9.0,39,61
39,Ohio,151,Stark,13.0,39,151
40,Oklahoma,031,Comanche,13.0,40,31
42,Pennsylvania,003,Allegheny,8.0,42,3
42,Pennsylvania,007,Beaver,7.0,42,7
42,Pennsylvania,021,Cambria,23.0,42,21
42,Pennsylvania,107,Schuylkill,6.0,42,107
47,Tennessee,037,Davidson,18.0,47,37
48,Texas,201,Harris,9.0,48,201
48,Texas,201,Harris,34.0,48,201
48,Texas,439,Tarrant,5.0,48,439
50,Vermont,007,Chittenden,3.0,50,7
51,Virginia,059,Fairfax,6.0,51,59
51,Virginia,700,Newport News City,11.0,51,700
53,Washington,033,King,45.0,53,33
53,Washington,033,King,35.0,53,33
53,Washington,067,Thurston,32.0,53,67
55,Wisconsin,079,Milwaukee,2.0,55,79
55,Wisconsin,079,Milwaukee,7.0,55,79
80,Country Of Mexico,006,CHIHUAHUA STATE,13.0,80,6
01,Alabama,101,Montgomery,0.0,1,101
04,Arizona,013,Maricopa,30.0,4,13
06,California,019,Fresno,23.0,6,19
06,California,029,Kern,8.0,6,29
06,California,037,Los Angeles,20.0,6,37
06,California,053,Monterey,6.0,6,53
06,California,059,Orange,47.0,6,59
06,California,059,Orange,3.0,6,59
06,California,061,Placer,10.0,6,61
06,California,067,Sacramento,7.0,6,67
06,California,067,Sacramento,5.0,6,67
06,California,071,San Bernardino,2.0,6,71
06,California,071,San Bernardino,10.0,6,71
06,California,075,San Francisco,8.0,6,75
06,California,077,San Joaquin,3.0,6,77
06,California,077,San Joaquin,5.0,6,77
06,California,085,Santa Clara,10.0,6,85
08,Colorado,069,Larimer,16.0,8,69
11,District Of Columbia,001,District of Columbia,22.0,11,1
11,District Of Columbia,001,District of Columbia,13.0,11,1
12,Florida,011,Broward,15.0,12,11
12,Florida,031,Duval,10.0,12,31
12,Florida,103,Pinellas,20.0,12,103
12,Florida,115,Sarasota,36.0,12,115
15,Hawaii,003,Honolulu,11.0,15,3
17,Illinois,031,Cook,10.0,17,31
17,Illinois,031,Cook,11.0,17,31
17,Illinois,119,Madison,17.0,17,119
17,Illinois,119,Madison,14.0,17,119
17,Illinois,197,Will,1.0,17,197
21,Kentucky,111,Jefferson,16.0,21,111
21,Kentucky,117,Kenton,17.0,21,117
22,Louisiana,033,East Baton Rouge,32.0,22,33
22,Louisiana,033,East Baton Rouge,49.0,22,33
29,Missouri,095,Jackson,2.0,29,95
32,Nevada,003,Clark,15.0,32,3
32,Nevada,031,Washoe,32.0,32,31
34,New Jersey,023,Middlesex,25.0,34,23
34,New Jersey,039,Union,49.0,34,39
35,New Mexico,001,Bernalillo,6.0,35,1
36,New York,059,Nassau,23.0,36,59
37,North Carolina,067,Forsyth,19.0,37,67
37,North Carolina,071,Gaston,19.0,37,71
37,North Carolina,183,Wake,32.0,37,183
39,Ohio,049,Franklin,13.0,39,49
39,Ohio,085,Lake,20.0,39,85
39,Ohio,151,Stark,10.0,39,151
42,Pennsylvania,043,Dauphin,16.0,42,43
42,Pennsylvania,043,Dauphin,14.0,42,43
42,Pennsylvania,101,Philadelphia,24.0,42,101
48,Texas,141,El Paso,40.0,48,141
48,Texas,141,El Paso,15.0,48,141
48,Texas,201,Harris,9.0,48,201
48,Texas,201,Harris,11.0,48,201
48,Texas,439,Tarrant,15.0,48,439
48,Texas,453,Travis,11.0,48,453
49,Utah,035,Salt Lake,13.0,49,35
49,Utah,049,Utah,40.0,49,49
50,Vermont,007,Chittenden,49.0,50,7
51,Virginia,059,Fairfax,8.0,51,59
51,Virginia,760,Richmond City,8.0,51,760
53,Washington,033,King,25.0,53,33
53,Washington,033,King,13.0,53,33
53,Washington,061,Snohomish,40.0,53,61
53,Washington,063,Spokane,19.0,53,63
54,West Virginia,069,Ohio,16.0,54,69
55,Wisconsin,079,Milwaukee,3.0,55,79
80,Country Of Mexico,002,BAJA CALIFORNIA NORTE,14.0,80,2
02,Alaska,090,Fairbanks North Star ,23.0,2,90
04,Arizona,013,Maricopa,22.0,4,13
04,Arizona,013,Maricopa,11.0,4,13
06,California,001,Alameda,15.0,6,1
06,California,009,Calaveras,3.0,6,9
06,California,013,Contra Costa,13.0,6,13
06,California,019,Fresno,15.0,6,19
06,California,037,Los Angeles,59.0,6,37
06,California,059,Orange,16.0,6,59
06,California,067,Sacramento,20.0,6,67
06,California,067,Sacramento,5.0,6,67
06,California,073,San Diego,24.0,6,73
06,California,073,San Diego,6.0,6,73
06,California,075,San Francisco,16.0,6,75
06,California,075,San Francisco,16.0,6,75
06,California,083,Santa Barbara,2.0,6,83
06,California,101,Sutter,5.0,6,101
06,California,107,Tulare,17.0,6,107
08,Colorado,031,Denver,25.0,8,31
08,Colorado,123,Weld,28.0,8,123
08,Colorado,123,Weld,16.0,8,123
08,Colorado,123,Weld,13.0,8,123
12,Florida,115,Sarasota,15.0,12,115
15,Hawaii,003,Honolulu,2.0,15,3
15,Hawaii,003,Honolulu,13.0,15,3
19,Iowa,113,Linn,9.0,19,113
21,Kentucky,013,Bell,11.0,21,13
21,Kentucky,111,Jefferson,10.0,21,111
25,Massachusetts,013,Hampden,11.0,25,13
26,Michigan,125,Oakland,11.0,26,125
29,Missouri,189,Saint Louis,11.0,29,189
29,Missouri,189,Saint Louis,6.0,29,189
29,Missouri,189,Saint Louis,10.0,29,189
29,Missouri,189,Saint Louis,6.0,29,189
32,Nevada,003,Clark,6.0,32,3
32,Nevada,003,Clark,19.0,32,3
34,New Jersey,013,Essex,11.0,34,13
34,New Jersey,013,Essex,13.0,34,13
35,New Mexico,001,Bernalillo,6.0,35,1
36,New York,055,Monroe,9.0,36,55
37,North Carolina,067,Forsyth,9.0,37,67
37,North Carolina,119,Mecklenburg,10.0,37,119
37,North Carolina,119,Mecklenburg,36.0,37,119
39,Ohio,035,Cuyahoga,8.0,39,35
39,Ohio,113,Montgomery,6.0,39,113
39,Ohio,151,Stark,7.0,39,151
40,Oklahoma,031,Comanche,8.0,40,31
40,Oklahoma,109,Oklahoma,30.0,40,109
41,Oregon,029,Jackson,24.0,41,29
41,Oregon,051,Multnomah,23.0,41,51
42,Pennsylvania,003,Allegheny,15.0,42,3
42,Pennsylvania,049,Erie,6.0,42,49
42,Pennsylvania,089,Monroe,1.0,42,89
42,Pennsylvania,125,Washington,2.0,42,125
42,Pennsylvania,125,Washington,0.0,42,125
42,Pennsylvania,129,Westmoreland,1.0,42,129
47,Tennessee,037,Davidson,24.0,47,37
47,Tennessee,037,Davidson,28.0,47,37
47,Tennessee,157,Shelby,9.0,47,157
47,Tennessee,157,Shelby,9.0,47,157
48,Texas,029,Bexar,11.0,48,29
48,Texas,479,Webb,10.0,48,479
49,Utah,035,Salt Lake,15.0,49,35
50,Vermont,021,Rutland,15.0,50,21
51,Virginia,510,Alexandria City,6.0,51,510
51,Virginia,760,Richmond City,0.0,51,760
53,Washington,011,Clark,15.0,53,11
53,Washington,011,Clark,15.0,53,11
53,Washington,063,Spokane,13.0,53,63
55,Wisconsin,079,Milwaukee,5.0,55,79
55,Wisconsin,079,Milwaukee,13.0,55,79
55,Wisconsin,079,Milwaukee,10.0,55,79
72,Puerto Rico,127,San Juan,18.0,72,127
80,Country Of Mexico,002,BAJA CALIFORNIA NORTE,36.0,80,2
02,Alaska,020,Anchorage ,39.0,2,20
04,Arizona,013,Maricopa,7.0,4,13
04,Arizona,013,Maricopa,31.0,4,13
06,California,001,Alameda,5.0,6,1
06,California,001,Alameda,11.0,6,1
06,California,017,El Dorado,23.0,6,17
06,California,037,Los Angeles,13.0,6,37
06,California,037,Los Angeles,20.0,6,37
06,California,045,Mendocino,8.0,6,45
06,California,097,Sonoma,17.0,6,97
08,Colorado,013,Boulder,7.0,8,13
08,Colorado,031,Denver,30.0,8,31
08,Colorado,041,El Paso,11.0,8,41
12,Florida,057,Hillsborough,20.0,12,57
12,Florida,057,Hillsborough,11.0,12,57
12,Florida,095,Orange,17.0,12,95
12,Florida,099,Palm Beach,17.0,12,99
17,Illinois,031,Cook,10.0,17,31
17,Illinois,197,Will,2.0,17,197
18,Indiana,097,Marion,19.0,18,97
19,Iowa,153,Polk,11.0,19,153
24,Maryland,510,Baltimore (City),18.0,24,510
25,Massachusetts,013,Hampden,7.0,25,13
25,Massachusetts,025,Suffolk,24.0,25,25
25,Massachusetts,027,Worcester,24.0,25,27
27,Minnesota,123,Ramsey,10.0,27,123
29,Missouri,077,Greene,11.0,29,77
29,Missouri,095,Jackson,8.0,29,95
29,Missouri,510,St. Louis City,15.0,29,510
30,Montana,029,Flathead,28.0,30,29
31,Nebraska,055,Douglas,3.0,31,55
32,Nevada,003,Clark,16.0,32,3
32,Nevada,003,Clark,28.0,32,3
