Acc (vertical),LyingDown
96.229,0
84.746,0
82.449,0
106.56000000000002,0
80.152,0
19.292,1
89.339,0
45.702999999999996,0
92.784,0
83.597,0
85.894,0
88.191,0
14.698,1
85.894,0
91.636,0
14.698,1
5.5119,1
84.746,0
91.636,0
82.449,0
15.847,1
87.042,0
88.191,0
84.746,0
20.44,1
8.9569,1
80.152,0
90.487,0
7.8086,1
12.402000000000001,1
95.081,0
88.191,0
83.597,0
89.339,0
90.487,0
8.9569,1
6.6602,1
14.698,1
95.081,0
97.37700000000001,0
3.2153,1
21.587999999999997,1
93.932,0
5.5119,1
97.37700000000001,0
0.91865,1
8.9569,1
100.82,0
92.784,0
-2.5263,1
92.784,0
3.2153,1
85.894,0
89.339,0
97.37700000000001,0
5.5119,1
97.37700000000001,0
93.932,0
0.91865,1
96.229,0
98.526,0
99.67399999999999,0
91.636,0
16.994999999999997,1
21.587999999999997,1
105.42,0
10.105,1
99.67399999999999,0
11.254,1
112.31,0
10.105,1
-3.6746,1
87.042,0
0.91865,1
95.081,0
-2.5263,1
89.339,0
80.152,0
-4.8229,1
89.339,0
-4.8229,1
79.00399999999999,0
75.559,0
-16.306,1
98.526,0
103.11999999999999,0
87.042,0
79.00399999999999,0
0.91865,1
0.91865,1
99.67399999999999,0
101.97,0
93.932,0
89.339,0
-10.565,1
-1.3780000000000001,1
96.229,0
95.081,0
-3.6746,1
-14.008999999999999,1
5.5119,1
-5.9712000000000005,1
91.636,0
98.526,0
-0.22966000000000003,1
-8.267900000000001,1
-4.8229,1
97.37700000000001,0
90.487,0
96.229,0
-4.8229,1
-28.938000000000002,1
-16.306,1
-19.750999999999998,1
83.597,0
98.526,0
-4.8229,1
-5.9712000000000005,1
-15.158,1
96.229,0
103.11999999999999,0
95.081,0
97.37700000000001,0
99.67399999999999,0
93.932,0
-5.9712000000000005,1
-16.306,1
93.932,0
-14.008999999999999,1
-19.750999999999998,1
91.636,0
-2.5263,1
97.37700000000001,0
92.784,0
84.746,0
88.191,0
-1.3780000000000001,1
-4.8229,1
97.37700000000001,0
-9.4162,1
2.067,1
-7.119599999999999,1
88.191,0
104.27,0
97.37700000000001,0
91.636,0
-5.9712000000000005,1
0.91865,1
88.191,0
-17.454,1
43.406,0
93.932,0
91.636,0
101.97,0
-17.454,1
97.37700000000001,0
95.081,0
-0.22966000000000003,1
99.67399999999999,0
92.784,0
97.37700000000001,0
83.597,0
0.91865,1
-8.267900000000001,1
103.11999999999999,0
96.229,0
-5.9712000000000005,1
5.5119,1
87.042,0
106.56000000000002,0
106.56000000000002,1
4.3636,1
75.559,0
99.67399999999999,0
10.105,1
110.01,0
10.105,1
99.67399999999999,0
16.994999999999997,1
97.37700000000001,0
93.932,0
95.081,0
6.6602,1
-0.22966000000000003,1
90.487,0
97.37700000000001,0
-10.565,1
-5.9712000000000005,1
-11.713,1
91.636,0
-1.3780000000000001,1
-1.3780000000000001,1
5.5119,1
103.11999999999999,0
-48.459,1
72.114,0
-36.976,1
-25.493,1
-1.3780000000000001,1
88.191,0
4.3636,1
13.55,1
21.587999999999997,1
20.44,1
90.487,0
13.55,1
29.627,1
18.143,1
29.627,1
18.143,1
6.6602,1
105.42,0
14.698,1
93.932,0
-12.861,1
-0.22966000000000003,1
72.114,0
97.37700000000001,0
82.449,0
98.526,0
-14.008999999999999,1
88.191,0
38.812999999999995,0
29.627,1
100.82,0
89.339,0
90.487,0
-15.158,1
91.636,0
-7.119599999999999,1
-9.4162,0
16.994999999999997,1
-27.789,1
77.85600000000001,0
62.928,0
70.966,0
97.37700000000001,1
-27.789,1
-34.679,1
80.152,0
70.966,0
-38.124,1
-25.493,1
-28.938000000000002,1
74.411,0
75.559,0
87.042,0
97.37700000000001,0
99.67399999999999,0
89.339,0
80.152,0
75.559,0
-28.938000000000002,1
95.081,0
88.191,0
-28.938000000000002,1
91.636,0
80.152,0
-16.306,1
83.597,0
80.152,0
-12.861,1
-20.899,1
81.301,0
-26.641,1
87.042,0
90.487,0
-39.272,1
-17.454,1
89.339,0
101.97,0
61.778999999999996,0
-32.383,1
-25.493,1
84.746,0
77.85600000000001,0
80.152,0
-30.086000000000002,1
-27.789,1
83.597,0
87.042,0
93.932,0
97.37700000000001,0
-17.454,1
66.373,0
62.928,0
-22.048000000000002,1
29.627,1
89.339,0
75.559,0
76.708,0
27.33,1
88.191,0
64.076,0
34.22,1
83.597,0
82.449,0
89.339,0
80.152,0
85.894,0
16.994999999999997,1
22.737,1
89.339,0
74.411,0
15.847,1
22.737,1
101.97,0
26.182,1
98.526,0
19.292,1
90.487,0
90.487,0
30.775000000000002,1
27.33,1
39.961,1
29.627,1
89.339,0
28.477999999999998,1
87.042,0
98.526,0
21.587999999999997,1
50.296,0
-3.6746,1
-0.22966000000000003,1
74.411,0
76.708,0
26.182,1
-8.267900000000001,1
-12.861,1
-5.9712000000000005,1
96.229,0
-8.267900000000001,1
-19.750999999999998,1
-5.9712000000000005,1
95.081,0
80.152,0
80.152,0
2.067,1
-1.3780000000000001,1
-12.861,1
2.067,1
77.85600000000001,0
4.3636,1
-8.267900000000001,1
92.784,0
77.85600000000001,0
-8.267900000000001,1
-4.8229,1
-2.5263,1
30.775000000000002,1
80.152,0
79.00399999999999,0
-15.158,1
-16.306,1
-11.713,1
-20.899,1
74.411,0
73.263,0
73.263,0
79.00399999999999,0
-10.565,1
-22.048000000000002,1
-8.267900000000001,1
83.597,0
-20.899,1
-9.4162,1
-3.6746,1
97.37700000000001,0
-8.267900000000001,1
-12.861,1
83.597,0
83.597,0
-10.565,1
-11.713,1
31.923000000000002,1
46.851,1
45.702999999999996,1
46.851,1
85.894,0
35.368,1
27.33,1
26.182,1
29.627,1
99.67399999999999,0
33.072,1
21.587999999999997,1
98.526,0
22.737,1
18.143,1
75.559,0
52.593,1
42.258,1
89.339,0
36.516,1
30.775000000000002,1
15.847,1
29.627,1
38.812999999999995,1
30.775000000000002,1
26.182,1
25.033,1
100.82,0
34.22,1
29.627,1
27.33,1
18.143,1
15.847,1
29.627,1
15.847,1
90.487,0
89.339,0
108.86,0
39.961,1
95.081,0
95.081,0
95.081,0
-0.22966000000000003,1
85.894,0
-3.6746,1
-3.6746,1
-15.158,1
90.487,0
59.483,0
-5.9712000000000005,1
-8.267900000000001,1
-9.4162,1
0.91865,1
75.559,0
-3.6746,1
-8.267900000000001,1
79.00399999999999,0
66.373,0
-5.9712000000000005,1
95.081,0
-15.158,1
-1.3780000000000001,1
5.5119,1
85.894,0
-14.008999999999999,1
-14.008999999999999,1
91.636,0
69.818,0
-5.9712000000000005,1
106.56000000000002,0
21.587999999999997,1
-1.3780000000000001,1
100.82,0
100.82,0
70.966,0
52.593,1
101.97,0
80.152,0
76.708,0
42.258,0
-1.3780000000000001,1
83.597,0
65.224,0
34.22,1
28.477999999999998,1
88.191,0
30.775000000000002,1
33.072,1
36.516,1
33.072,1
95.081,0
42.258,1
29.627,1
43.406,1
0.91865,1
105.42,0
36.516,1
34.22,1
14.698,1
25.033,1
25.033,1
12.402000000000001,1
107.71,0
35.368,1
15.847,1
19.292,1
28.477999999999998,1
81.301,0
19.292,1
14.698,1
10.105,1
10.105,1
25.033,1
85.894,0
23.885,1
13.55,1
6.6602,1
8.9569,1
6.6602,1
-3.6746,1
